State	AggravatedAssault
Alabama	0.0005993784880771182
Alaska	0.00013498858447488584
Arizona	0.0007675989345509893
Arkansas	0.000393994165398275
California	0.0033122146118721462
Colorado	0.0004033802638254693
Connecticut	0.0001404109589041096
Delaware	0.00009167300862506342
Florida	0.0018401509386098427
Georgia	0.0007544710806697108
Hawaii	0.000060058346017250124
Idaho	0.00009363901572805683
Illinois	0.0010166159309994926
Indiana	0.0005383054287163876
Iowa	0.00021052130898021308
Kansas	0.00026820142059868086
Kentucky	0.00016406646372399796
Louisiana	0.0005798135464231355
Maine	0.00002765093860984272
Maryland	0.0005338660578386605
Massachusetts	0.0005491818873668188
Michigan	0.0009746955859969559
Minnesota	0.0002274226281075596
Mississippi	0.0001623224251648909
Missouri	0.0007210806697108067
Montana	0.00009550989345509894
Nebraska	0.0001164066463723998
Nevada	0.00030638001014713344
New Hampshire	0.00004984779299847793
New Jersey	0.0003450025367833587
New Mexico	0.0003561009639776763
New York	0.0013894913749365803
North Carolina	0.0007834855403348554
North Dakota	0.00004861111111111111
Ohio	0.0005234969558599695
Oklahoma	0.00039795788939624556
Oregon	0.00022637620497209537
Pennsylvania	0.0007415969051243024
Rhode Island	0.00004823059360730593
South Carolina	0.0005919583967529173
South Dakota	0.00009237062404870624
Tennessee	0.001028411973617453
Texas	0.0024127663622526634
Utah	0.00013229325215626585
Vermont	0.000022513952308472855
Virginia	0.0003166222729578894
Washington	0.0004335679857940132
West Virginia	0.0001574074074074074
Wisconsin	0.0003763635210553019
Wyoming	0.00003240740740740741
