State	AggravatedAssaultRate
Alabama	1.229705733130391e-10
Alaska	1.8245814307458145e-10
Arizona	1.0939878234398784e-10
Arkansas	1.3115169964485035e-10
California	8.377727042110604e-11
Colorado	7.194951801116185e-11
Connecticut	3.91298833079655e-11
Delaware	9.528792491121259e-11
Florida	8.767757483510908e-11
Georgia	7.233003551496703e-11
Hawaii	4.207889396245561e-11
Idaho	5.4540842212075093e-11
Illinois	7.940131912734653e-11
Indiana	8.073313039066463e-11
Iowa	6.690766108574329e-11
Kansas	9.20535261288686e-11
Kentucky	3.684677828513445e-11
Louisiana	1.237633181126332e-10
Maine	2.0706494165398277e-11
Maryland	8.821664129883308e-11
Massachusetts	8.006722475900559e-11
Michigan	9.782470826991375e-11
Minnesota	4.077879249112126e-11
Mississippi	5.438229325215627e-11
Missouri	1.1796042617960428e-10
Montana	9.091197361745307e-11
Nebraska	6.062912227295789e-11
Nevada	1.0220065956367326e-10
New Hampshire	3.713216641298833e-11
New Jersey	3.830542871638762e-11
New Mexico	1.7053526128868594e-10
New York	7.001522070015222e-11
North Carolina	7.626204972095382e-11
North Dakota	6.433916793505835e-11
Ohio	4.490106544901066e-11
Oklahoma	1.0124936580416035e-10
Oregon	5.463597158802639e-11
Pennsylvania	5.790208016235414e-11
Rhode Island	4.550355149670218e-11
South Carolina	1.1780187721968546e-10
South Dakota	1.0622780314561137e-10
Tennessee	1.531265854895992e-10
Texas	8.523592085235922e-11
Utah	4.264967021816337e-11
Vermont	3.6085743277524104e-11
Virginia	3.738584474885845e-11
Washington	5.853627600202943e-11
West Virginia	8.669457128361237e-11
Wisconsin	6.494165398274988e-11
Wyoming	5.5936073059360734e-11
