State	AggregateHouseholdIncome
Alabama	3796.0693493150684
Alaska	756.4909880771182
Arizona	5803.908479198377
Arkansas	2231.2250697615423
California	39275.62463850837
Colorado	5836.873668188737
Connecticut	4577.107378868594
Delaware	940.179220573313
Florida	17384.519092465755
Georgia	8684.138302257737
Hawaii	1380.3855213089803
Idaho	1300.6392218417047
Illinois	13027.349470446474
Indiana	5567.135984271943
Iowa	2917.4477549467274
Kansas	2655.1888666920345
Kentucky	3523.5909595383055
Louisiana	3684.0634386098427
Maine	1233.528469051243
Maryland	7182.097831050229
Massachusetts	8351.573477929986
Michigan	8889.363838153222
Minnesota	5926.23140854896
Mississippi	2042.544469812278
Missouri	5307.517570395738
Montana	913.862100456621
Nebraska	1763.477251395231
Nevada	2464.5154236428207
New Hampshire	1529.9692097919838
New Jersey	10744.563771562658
New Mexico	1578.8177955352612
New York	21638.338305428715
North Carolina	8664.098335235922
North Dakota	803.4508054287164
Ohio	10448.472444190766
Oklahoma	3152.678050481989
Oregon	3780.0985254946727
Pennsylvania	12415.730067224758
Rhode Island	1076.6752378234398
South Carolina	3961.396930492136
South Dakota	765.168461440893
Tennessee	5523.601334982242
Texas	24185.664190131913
Utah	2474.0758434804666
Vermont	619.9506024860477
Virginia	9279.589856037544
Washington	7738.8622970573315
West Virginia	1394.91523021309
Wisconsin	5491.964408929477
Wyoming	560.1985064687975
