State	AnnualHousingUnitsChangeFraction (Percent per Years)
Alabama	1.2571428571428571
Alaska	1.1714285714285713
Arizona	3.1142857142857143
Arkansas	1.4000000000000001
California	1.2857142857142856
Colorado	2.5142857142857142
Connecticut	0.5428571428571428
Delaware	1.9
Florida	2.771428571428571
Georgia	2.957142857142857
Hawaii	1.4285714285714286
Idaho	2.8000000000000003
Illinois	1.0571428571428572
Indiana	1.3857142857142855
Iowa	1.1285714285714283
Kansas	1.114285714285714
Kentucky	1.2714285714285714
Louisiana	0.08571428571428572
Maine	0.9857142857142858
Maryland	1.157142857142857
Massachusetts	0.5428571428571428
Michigan	0.9857142857142858
Minnesota	1.6428571428571428
Mississippi	1.1428571428571428
Missouri	1.2
Montana	0.7857142857142856
Nebraska	1.1428571428571428
Nevada	4.742857142857143
New Hampshire	1.2285714285714284
New Jersey	0.8142857142857143
New Mexico	1.4857142857142858
New York	0.48571428571428577
North Carolina	2.4428571428571426
North Dakota	1.0285714285714287
Ohio	0.842857142857143
Oklahoma	1.0285714285714287
Oregon	1.5428571428571431
Pennsylvania	0.6142857142857142
Rhode Island	0.35714285714285715
South Carolina	2.1857142857142855
South Dakota	1.5
Tennessee	1.6714285714285713
Texas	2.228571428571428
Utah	2.914285714285714
Vermont	0.8285714285714285
Virginia	1.814285714285714
Washington	1.714285714285714
West Virginia	0.6428571428571428
Wisconsin	1.4714285714285715
Wyoming	1.1857142857142857
