State	Area
Alabama	1.3576734509304034e11
Alaska	1.7233367679472625e12
Arizona	2.9523352428362195e11
Arkansas	1.377317889150155e11
California	4.239674329145308e11
Colorado	2.6960135989127487e11
Connecticut	1.435737894065824e10
Delaware	6.445768159895966e9
Florida	1.7031166634301782e11
Georgia	1.5391045526482632e11
Hawaii	2.8313027415510376e10
Idaho	2.1644257912329944e11
Illinois	1.4999540333736136e11
Indiana	9.432619112383502e10
Iowa	1.4574590106523248e11
Kansas	2.1309997413794516e11
Kentucky	1.0465570602490637e11
Louisiana	1.3565874171159775e11
Maine	9.163311889671953e10
Maryland	3.2131218967625015e10
Massachusetts	2.7335736841884846e10
Michigan	2.5048684359885e11
Minnesota	2.2516277642214413e11
Mississippi	1.2543772659244455e11
Missouri	1.8054029602721533e11
Montana	3.8083109546727716e11
Nebraska	2.0032993416040912e11
Nevada	2.86379717268129e11
New Hampshire	2.421421842160515e10
New Jersey	2.2591373311478363e10
New Mexico	3.1491742356222314e11
New York	1.4129672624972528e11
North Carolina	1.3939096896834216e11
North Dakota	1.831078030407536e11
Ohio	1.160977244188914e11
Oklahoma	1.8103724222592178e11
Oregon	2.5479924114225024e11
Pennsylvania	1.192801956193598e11
Rhode Island	3.139065589727232e9
South Carolina	8.293267284720415e10
South Dakota	1.9972869173048764e11
Tennessee	1.0915310382903989e11
Texas	6.956616482382914e11
Utah	2.1988190721463403e11
Vermont	2.4906265834675037e10
Virginia	1.1078654976050229e11
Washington	1.846608427913306e11
West Virginia	6.275553105289436e10
Wisconsin	1.6963482216015564e11
Wyoming	2.5333452516621204e11
