State	BurglaryRate (crimes per Years per People)
Alabama	0.006457000000000001
Alaska	0.005638
Arizona	0.005363
Arkansas	0.007277000000000001
California	0.004469
Colorado	0.004069
Connecticut	0.002478
Delaware	0.0041270000000000005
Florida	0.004234
Georgia	0.005309
Hawaii	0.0038870000000000003
Idaho	0.003294
Illinois	0.0033950000000000004
Indiana	0.004521000000000001
Iowa	0.004793
Kansas	0.004782000000000001
Kentucky	0.004534
Louisiana	0.007315
Maine	0.002496
Maryland	0.0038840000000000003
Massachusetts	0.002491
Michigan	0.0035780000000000005
Minnesota	0.003369
Mississippi	0.008281
Missouri	0.004920000000000001
Montana	0.0034410000000000005
Nebraska	0.0033710000000000003
Nevada	0.006687000000000001
New Hampshire	0.001917
New Jersey	0.0026530000000000004
New Mexico	0.008581
New York	0.0017630000000000002
North Carolina	0.006306000000000001
North Dakota	0.0038950000000000005
Ohio	0.005024
Oklahoma	0.007278
Oregon	0.004274
Pennsylvania	0.0025030000000000005
Rhode Island	0.0030360000000000005
South Carolina	0.006231
South Dakota	0.0031130000000000003
Tennessee	0.005765
Texas	0.004737
Utah	0.0038100000000000005
Vermont	0.0029730000000000004
Virginia	0.00218
Washington	0.005904
West Virginia	0.004201000000000001
Wisconsin	0.003037
Wyoming	0.0027500000000000003
