State	CrimeRate
Alabama	1.1039764079147642e-9
Alaska	1.386066717402334e-9
Arizona	1.0853944698122782e-9
Arkansas	1.1521752917300865e-9
California	9.341704718417047e-10
Colorado	9.733954845256217e-10
Connecticut	6.335299340436328e-10
Delaware	9.176813800101473e-10
Florida	9.260527650938612e-10
Georgia	1.0202308472856417e-9
Hawaii	9.766933028919331e-10
Idaho	5.903729071537291e-10
Illinois	7.769533231862e-10
Indiana	8.929160324708271e-10
Iowa	7.669647387113142e-10
Kansas	1.01912100456621e-9
Kentucky	7.467338914256724e-10
Louisiana	1.244228817858955e-9
Maine	5.162671232876712e-10
Maryland	8.632990867579909e-10
Massachusetts	5.691907661085743e-10
Michigan	7.134703196347033e-10
Minnesota	7.70484525621512e-10
Mississippi	9.575088787417554e-10
Missouri	1.0667808219178082e-9
Montana	9.413685946220193e-10
Nebraska	8.180809233891426e-10
Nevada	1.0046613394216135e-9
New Hampshire	5.011732623033993e-10
New Jersey	5.657978183663115e-10
New Mexico	1.4983510908168444e-9
New York	5.932584982242518e-10
North Carolina	9.224378488077118e-10
North Dakota	7.86117453069508e-10
Ohio	8.614282090309488e-10
Oklahoma	1.0567605276509386e-9
Oregon	1.036371131405378e-9
Pennsylvania	6.223680872653476e-10
Rhode Island	6.290588533739219e-10
South Carolina	1.1739282090309488e-9
South Dakota	7.324327752409945e-10
Tennessee	1.1390474378488077e-9
Texas	9.51769406392694e-10
Utah	9.573503297818367e-10
Vermont	5.081494165398276e-10
Virginia	6.345446473871133e-10
Washington	1.102898274987316e-9
West Virginia	6.984715880263825e-10
Wisconsin	6.748477929984779e-10
Wyoming	6.55726788432268e-10
