State	CrimeTotal
Alabama	0.005381500507356671
Alaska	0.0010253995433789954
Arizona	0.00761539193302892
Arkansas	0.0034614408929477423
California	0.03693369482496195
Colorado	0.005457921106037544
Connecticut	0.0022732432775240995
Delaware	0.0008827371892440386
Florida	0.019433187468290206
Georgia	0.01064041095890411
Hawaii	0.0013942478437341452
Idaho	0.0010136669203450026
Illinois	0.009946632420091325
Indiana	0.005952879249112126
Iowa	0.0024126395230847286
Kansas	0.002968765854895992
Kentucky	0.003326008371385084
Louisiana	0.005828386605783866
Maine	0.0006896879756468797
Maryland	0.005224790715372907
Massachusetts	0.003904585235920852
Michigan	0.007107559614408929
Minnesota	0.0042967719431760525
Mississippi	0.0028572742262810754
Missouri	0.006521848046676814
Montana	0.0009889015728056824
Nebraska	0.0015707762557077625
Nevada	0.0030120814307458142
New Hampshire	0.0006729769152714358
New Jersey	0.005095446473871132
New Mexico	0.003128646626078133
New York	0.011775558092338914
North Carolina	0.009476471334348046
North Dakota	0.0005938292744799594
Ohio	0.010043030187721968
Oklahoma	0.004153982749873161
Oregon	0.00429337899543379
Pennsylvania	0.007969939117199391
Rhode Island	0.0006665715372907154
South Carolina	0.005898243277524099
South Dakota	0.000636986301369863
Tennessee	0.0076497653475393204
Texas	0.026939561136478943
Utah	0.002969558599695586
Vermont	0.0003169076610857433
Virginia	0.005374397513952308
Washington	0.008167649670218163
West Virginia	0.001268328259766616
Wisconsin	0.003911117453069508
Wyoming	0.00037988330796549975
