State	FarmLandArea (Kilometers squared)
Alabama	36557.42722543803
Alaska	3567.647919141504
Arizona	105695.38730774453
Arkansas	56141.48068176891
California	102647.27886296717
Colorado	127900.53705973041
Connecticut	1641.4697146281983
Delaware	2064.920630098867
Florida	37358.83834333517
Georgia	41077.773942971675
Hawaii	4537.85746527337
Idaho	46528.25823434258
Illinois	108354.98539540224
Indiana	59784.95454969692
Iowa	124430.92019056511
Kansas	187554.90764638933
Kentucky	56628.15158827031
Louisiana	32819.90441425344
Maine	5453.406121707879
Maryland	8303.161945797734
Massachusetts	2095.7819571760897
Michigan	40597.28258622728
Minnesota	108933.12739761914
Mississippi	46361.7624674122
Missouri	117466.37336531244
Montana	248430.29170595834
Nebraska	184052.4788653512
Nevada	23736.39928509358
New Hampshire	1909.7560611512065
New Jersey	2968.16684300928
New Mexico	174978.1762876959
New York	29035.154788619442
North Carolina	34295.77676407703
North Dakota	160557.35316016112
Ohio	56480.20661118021
Oklahoma	141993.1398971264
Oregon	66367.0167870429
Pennsylvania	31602.889235488667
Rhode Island	274.4537557107456
South Carolina	19786.452933440793
South Dakota	176711.66342365663
Tennessee	44393.19748873068
Texas	527705.0310510013
Utah	44898.65794960128
Vermont	4991.040634879411
Virginia	32795.42093289792
Washington	60592.727325890075
West Virginia	14963.680588604775
Wisconsin	61475.00272881961
Wyoming	122091.74005386379
