State	FederalGovernmentExpenditurePerCapita (USDollars)
Alabama	11.903015646754906
Alaska	17.06915084763477
Arizona	9.542923821875146
Arkansas	9.699226150305421
California	8.95605968930403
Colorado	9.160396302461338
Connecticut	15.069784508829294
Delaware	9.018213308447875
Florida	9.757672536835075
Georgia	8.754324635008853
Hawaii	14.658529561187729
Idaho	8.948778012176211
Illinois	8.464383273992327
Indiana	9.539060109949801
Iowa	9.62430548536898
Kansas	10.49108877100357
Kentucky	13.03980516968378
Louisiana	11.718110958051467
Maine	10.970703200558901
Maryland	16.856099804227686
Massachusetts	12.401413979977818
Michigan	9.159341775356538
Minnesota	8.419354777454924
Mississippi	11.214340737589076
Missouri	11.252060598772793
Montana	10.618616210029037
Nebraska	9.345992667337928
Nevada	7.526701941102916
New Hampshire	8.890742313572279
New Jersey	9.140425201076882
New Mexico	13.669309056059424
New York	9.979433412653604
North Carolina	9.150938866742196
North Dakota	13.824614590225773
Ohio	9.111725518717764
Oklahoma	10.371980038241954
Oregon	8.782729868359866
Pennsylvania	11.097441071302628
Rhode Island	10.863185749457136
South Carolina	10.59612272271456
South Dakota	11.870911872848152
Tennessee	10.407030275462203
Texas	8.731208626220438
Utah	8.02236286222802
Vermont	10.891705802882141
Virginia	16.21269481223811
Washington	10.35102904401807
West Virginia	11.245785609995071
Wisconsin	9.29427117688523
Wyoming	11.95360207250078
