State	ForcibleRapeRate
Alabama	1.3191273465246068e-11
Alaska	3.700532724505327e-11
Arizona	1.617199391171994e-11
Arkansas	2.1657787924911212e-11
California	1.1796042617960428e-11
Colorado	2.1816336884830035e-11
Connecticut	7.38838153221715e-12
Delaware	1.1003297818366313e-11
Florida	1.1986301369863015e-11
Georgia	8.276255707762558e-12
Hawaii	1.2588787417554543e-11
Idaho	1.306443429731101e-11
Illinois	1.3762049720953831e-11
Indiana	1.2493658041603248e-11
Iowa	1.2430238457635718e-11
Kansas	1.7725773718924406e-11
Kentucky	1.182775240994419e-11
Louisiana	1.265220700152207e-11
Maine	1.1225266362252665e-11
Maryland	8.84703196347032e-12
Massachusetts	1.0147133434804668e-11
Michigan	2.23871131405378e-11
Minnesota	1.3571790969051242e-11
Mississippi	1.160578386605784e-11
Missouri	1.4142567224759007e-11
Montana	1.8518518518518518e-11
Nebraska	1.9660071029934043e-11
Nevada	1.997716894977169e-11
New Hampshire	1.5664637239979706e-11
New Jersey	5.295535261288686e-12
New Mexico	1.9121004566210046e-11
New York	1.0115423642820904e-11
North Carolina	8.371385083713852e-12
North Dakota	1.6742770167427703e-11
Ohio	1.5950025367833585e-11
Oklahoma	1.72818366311517e-11
Oregon	1.5315829528158296e-11
Pennsylvania	1.0400811770674784e-11
Rhode Island	1.3318112633181127e-11
South Carolina	1.5791476407914762e-11
South Dakota	2.1689497716894982e-11
Tennessee	1.3857179096905126e-11
Texas	1.6203703703703706e-11
Utah	1.7345256215119232e-11
Vermont	1.1098427194317606e-11
Virginia	1.0717909690512429e-11
Washington	1.3952308472856418e-11
West Virginia	1.388888888888889e-11
Wisconsin	1.1700913242009133e-11
Wyoming	1.4396245560629123e-11
