State	ForeignBornFraction
Alabama	0.034
Alaska	0.07200000000000001
Arizona	0.142
Arkansas	0.043
California	0.272
Colorado	0.098
Connecticut	0.132
Delaware	0.08199999999999999
Florida	0.192
Georgia	0.096
Hawaii	0.177
Idaho	0.059000000000000004
Illinois	0.136
Indiana	0.044000000000000004
Iowa	0.040999999999999995
Kansas	0.063
Kentucky	0.031000000000000007
Louisiana	0.036000000000000004
Maine	0.033
Maryland	0.132
Massachusetts	0.145
Michigan	0.059000000000000004
Minnesota	0.07
Mississippi	0.022000000000000002
Missouri	0.037000000000000005
Montana	0.02
Nebraska	0.059000000000000004
Nevada	0.193
New Hampshire	0.053
New Jersey	0.203
New Mexico	0.09699999999999999
New York	0.217
North Carolina	0.07400000000000001
North Dakota	0.024
Ohio	0.038
Oklahoma	0.052000000000000005
Oregon	0.09699999999999999
Pennsylvania	0.055999999999999994
Rhode Island	0.126
South Carolina	0.047
South Dakota	0.023
Tennessee	0.044000000000000004
Texas	0.161
Utah	0.08199999999999999
Vermont	0.04
Virginia	0.10800000000000001
Washington	0.127
West Virginia	0.013000000000000001
Wisconsin	0.046
Wyoming	0.031000000000000007
