State	HousingPermit
Alabama	0.0005091324200913242
Alaska	0.0000471841704718417
Arizona	0.0017427701674277017
Arkansas	0.0004973363774733638
California	0.0031837899543378993
Colorado	0.0014041095890410958
Connecticut	0.00016971080669710807
Delaware	0.0002134703196347032
Florida	0.004426940639269406
Georgia	0.0017119482496194824
Hawaii	0.00014649923896499237
Idaho	0.0005669710806697108
Illinois	0.0005083713850837138
Indiana	0.0006978691019786911
Iowa	0.0004052511415525114
Kansas	0.00020243531202435313
Kentucky	0.0004235159817351598
Louisiana	0.0005106544901065449
Maine	0.0001552511415525114
Maryland	0.0005338660578386605
Massachusetts	0.0006381278538812786
Michigan	0.0008116438356164384
Minnesota	0.0009140030441400304
Mississippi	0.0002484779299847793
Missouri	0.0006145357686453577
Montana	0.00010426179604261796
Nebraska	0.00038812785388127856
Nevada	0.0007393455098934551
New Hampshire	0.0001704718417047184
New Jersey	0.0012168949771689498
New Mexico	0.00015487062404870625
New York	0.0014010654490106546
North Carolina	0.0027397260273972603
North Dakota	0.0000943683409436834
Ohio	0.0008576864535768645
Oklahoma	0.0004219939117199391
Oregon	0.000523972602739726
Pennsylvania	0.0009006849315068493
Rhode Island	0.00004452054794520548
South Carolina	0.0015593607305936072
South Dakota	0.00033181126331811265
Tennessee	0.00156544901065449
Texas	0.006831430745814307
Utah	0.001058980213089802
Vermont	0.00006316590563165906
Virginia	0.0009592846270928462
Washington	0.0013961187214611872
West Virginia	0.00010426179604261796
Wisconsin	0.0005700152207001522
Wyoming	0.00005479452054794521
