State	HousingStarts
Alabama	0.0004771689497716895
Alaska	0.000038432267884322676
Arizona	0.0013078386605783867
Arkansas	0.00026560121765601216
California	0.0017709284627092847
Colorado	0.001039193302891933
Connecticut	0.00010616438356164384
Delaware	0.00019977168949771688
Florida	0.003591704718417047
Georgia	0.001478310502283105
Hawaii	0.00006278538812785387
Idaho	0.0004299847792998478
Illinois	0.00029528158295281584
Indiana	0.0005917047184170472
Iowa	0.00030555555555555555
Kansas	0.0001887366818873668
Kentucky	0.0002834855403348554
Louisiana	0.0004745053272450533
Maine	0.00014649923896499237
Maryland	0.0003812785388127854
Massachusetts	0.00019634703196347032
Michigan	0.0004615677321156773
Minnesota	0.00047792998477929987
Mississippi	0.00022184170471841705
Missouri	0.00035882800608828005
Montana	0.00007115677321156772
Nebraska	0.00017465753424657533
Nevada	0.0004140030441400304
New Hampshire	0.00009703196347031964
New Jersey	0.0003744292237442922
New Mexico	0.00014307458143074581
New York	0.0003706240487062405
North Carolina	0.001797564687975647
North Dakota	0.0000395738203957382
Ohio	0.0005799086757990868
Oklahoma	0.00037595129375951294
Oregon	0.00035882800608828005
Pennsylvania	0.0005734398782343987
Rhode Island	0.00003234398782343988
South Carolina	0.001328386605783866
South Dakota	0.0001248097412480974
Tennessee	0.001025875190258752
Texas	0.004823059360730593
Utah	0.0007431506849315068
Vermont	0.000031963470319634704
Virginia	0.0007397260273972603
Washington	0.0006719939117199391
West Virginia	0.00008181126331811263
Wisconsin	0.0003409436834094368
Wyoming	0.00005213089802130898
