State	LandArea (Kilometers squared)
Alabama	131170.7895941026
Alaska	1.4779532757708395e6
Arizona	294207.3295544969
Arkansas	134771.2693356505
California	403466.32245743973
Colorado	268431.2576527753
Connecticut	12541.64446601419
Delaware	5046.7057924665505
Florida	138887.48822963343
Georgia	148959.2526939403
Hawaii	16634.53015711108
Idaho	214044.69561108315
Illinois	143793.35823862423
Indiana	92789.18857963722
Iowa	144669.3025774923
Kansas	211754.10235633765
Kentucky	102269.13817074425
Louisiana	111897.60027008606
Maine	79882.80385800875
Maryland	25141.641364154253
Massachusetts	20202.054889943087
Michigan	146435.07618148794
Minnesota	206232.32281475654
Mississippi	121530.71398807403
Missouri	178039.735026353
Montana	376961.8915093413
Nebraska	198973.70760633645
Nevada	284331.9509386562
New Hampshire	23187.25705599959
New Jersey	19047.344950783325
New Mexico	314160.76112577645
New York	122056.80014300981
North Carolina	125919.79589944516
North Dakota	178711.24124371982
Ohio	105828.71423006564
Oklahoma	177660.02722944907
Oregon	248607.80981478927
Pennsylvania	115883.06620430676
Rhode Island	2703.4295895687164
South Carolina	77856.84522842497
South Dakota	196349.58863268248
Tennessee	106797.88519096526
Texas	676587.0203527538
Utah	212818.3414208153
Vermont	23871.029457056953
Virginia	102278.85321614613
Washington	172119.00666619625
West Virginia	62258.683273736155
Wisconsin	140268.06844190747
Wyoming	251470.0807851768
