State	LarcenyTheftRate
Alabama	6.494482496194825e-10
Alaska	7.618911719939117e-10
Arizona	6.681253170979199e-10
Arkansas	6.68918061897514e-10
California	5.149353120243532e-10
Colorado	6.040398274987317e-10
Connecticut	4.180936073059361e-10
Delaware	5.979198376458651e-10
Florida	5.975710299340437e-10
Georgia	6.587392186707256e-10
Hawaii	6.569317605276509e-10
Idaho	3.745243531202435e-10
Illinois	4.784373414510401e-10
Indiana	5.497843734145103e-10
Iowa	4.656900050735667e-10
Kansas	6.510971588026383e-10
Kentucky	4.5842846270928467e-10
Louisiana	7.614472349061391e-10
Maine	3.799150177574835e-10
Maryland	5.104325215626586e-10
Massachusetts	3.4183155758498227e-10
Michigan	3.950088787417555e-10
Minnesota	5.313609842719432e-10
Mississippi	5.551116184677829e-10
Missouri	6.392694063926941e-10
Montana	6.344495180111619e-10
Nebraska	5.28285134449518e-10
Nevada	4.808472856418063e-10
New Hampshire	3.5578386605783867e-10
New Jersey	3.6627980720446473e-10
New Mexico	7.990550481988839e-10
New York	4.0280948756976154e-10
North Carolina	5.583777270421107e-10
North Dakota	4.989852866565195e-10
Ohio	5.527016742770167e-10
Oklahoma	5.824771689497718e-10
Oregon	6.802701674277018e-10
Pennsylvania	4.1149797057331307e-10
Rhode Island	4.147957889396246e-10
South Carolina	7.258688483003552e-10
South Dakota	4.4580796549974635e-10
Tennessee	6.621955859969559e-10
Texas	5.861555048198885e-10
Utah	6.634005580923389e-10
Vermont	3.5143962455606293e-10
Virginia	4.612823439878235e-10
Washington	6.958396752917301e-10
West Virginia	4.0163622526636225e-10
Wisconsin	4.253234398782344e-10
Wyoming	4.505961440892948e-10
