State	MotorVehicleTheftRate
Alabama	8.352359208523593e-11
Alaska	1.8252156265854898e-10
Arizona	8.612379502790464e-11
Arkansas	7.654743784880772e-11
California	1.3505200405885337e-10
Colorado	1.2363647894469813e-10
Connecticut	6.459284627092846e-11
Delaware	4.5123033992897015e-11
Florida	6.484652460679859e-11
Georgia	7.984525621511924e-11
Hawaii	1.170408422120751e-10
Idaho	3.963723997970573e-11
Illinois	5.171867072552004e-11
Indiana	7.32496194824962e-11
Iowa	5.625317097919838e-11
Kansas	8.539446981227805e-11
Kentucky	7.293252156265856e-11
Louisiana	7.420091324200913e-11
Maine	1.8835616438356164e-11
Maryland	7.109335362760021e-11
Massachusetts	3.484906139015728e-11
Michigan	6.230974124809742e-11
Minnesota	5.672881785895485e-11
Mississippi	4.921359715880264e-11
Missouri	1.0334221207508879e-10
Montana	7.822805682394723e-11
Nebraska	8.593353627600203e-11
Nevada	1.354959411466261e-10
New Hampshire	2.159436834094368e-11
New Jersey	4.283992897006596e-11
New Mexico	1.7877980720446473e-10
New York	2.1435819381024858e-11
North Carolina	4.876966007102994e-11
North Dakota	7.442288178589549e-11
Ohio	5.507990867579909e-11
Oklahoma	9.883942161339422e-11
Oregon	1.3118340943683408e-10
Pennsylvania	3.2153729071537294e-11
Rhode Island	4.4393708777270424e-11
South Carolina	8.99923896499239e-11
South Dakota	5.0418569254185694e-11
Tennessee	8.745560629122275e-11
Texas	7.623033992897007e-11
Utah	9.741248097412481e-11
Vermont	9.861745306950787e-12
Virginia	3.8083460172501266e-11
Washington	1.2328767123287673e-10
West Virginia	5.241628614916287e-11
Wisconsin	5.181380010147134e-11
Wyoming	4.264967021816337e-11
