State	PerCapitaIncome
Alabama	0.000816400304414003
Alaska	0.0011119038559107052
Arizona	0.0008867326230339929
Arkansas	0.0007745433789954338
California	0.0010504819888381533
Colorado	0.001104927701674277
Connecticut	0.0013116755454084222
Delaware	0.0010345319634703196
Florida	0.0009124175545408422
Georgia	0.0008883498224251648
Hawaii	0.0010309170471841705
Idaho	0.0008076801116184678
Illinois	0.0010440131912734653
Indiana	0.000865835870116692
Iowa	0.0009532914764079147
Kansas	0.0009386098427194318
Kentucky	0.0008209030948756976
Louisiana	0.000830955098934551
Maine	0.0009476788432267884
Maryland	0.0012389015728056824
Massachusetts	0.001265632927447996
Michigan	0.0009176179604261796
Minnesota	0.0011007102993404363
Mississippi	0.0007134703196347032
Missouri	0.0008968163368848301
Montana	0.0009102612886859462
Nebraska	0.0009470446473871132
Nevada	0.0009021435819381025
New Hampshire	0.001170535261288686
New Jersey	0.0012388698630136986
New Mexico	0.0008008942161339421
New York	0.0011336884830035515
North Carolina	0.0008917744799594114
North Dakota	0.0010862506341958397
Ohio	0.0009199327752409944
Oklahoma	0.0008390728056823948
Oregon	0.000964294774226281
Pennsylvania	0.0009980974124809742
Rhode Island	0.0010564117199391172
South Carolina	0.0008449074074074074
South Dakota	0.0009120053272450532
Tennessee	0.0008649479959411466
Texas	0.0009191083206494165
Utah	0.0008532153729071538
Vermont	0.0010120814307458144
Virginia	0.001150050735667174
Washington	0.0011056887366818874
West Virginia	0.0007855783866057838
Wisconsin	0.0009689561136478945
Wyoming	0.0009897894469812279
