State	PopulationBySchoolEnrollment
Alabama	4.679631e6
Alaska	706065.
Arizona	6.558159e6
Arkansas	2.86542e6
California	3.7524579e7
Colorado	5.236608e6
Connecticut	3.486074e6
Delaware	911160.
Florida	1.9625695e7
Georgia	9.817011e6
Hawaii	1.367137e6
Idaho	1.591212e6
Illinois	1.2394551e7
Indiana	6.368924e6
Iowa	3.001226e6
Kansas	2.786509e6
Kentucky	4.265215e6
Louisiana	4.480864e6
Maine	1.292872e6
Maryland	5.78191e6
Massachusetts	6.57663e6
Michigan	9.587193e6
Minnesota	5.284935e6
Mississippi	2.876351e6
Missouri	5.854856e6
Montana	993861.
Nebraska	1.816472e6
Nevada	2.782287e6
New Hampshire	1.295006e6
New Jersey	8.652748e6
New Mexico	2.00717e6
New York	1.9107837e7
North Carolina	9.695783e6
North Dakota	713772.
Ohio	1.1200065e7
Oklahoma	3.738238e6
Oregon	3.890127e6
Pennsylvania	1.2371715e7
Rhode Island	1.023768e6
South Carolina	4.724565e6
South Dakota	819562.
Tennessee	6.36002e6
Texas	2.625391e7
Utah	2.844033e6
Vermont	607396.
Virginia	8.065246e6
Washington	6.908135e6
West Virginia	1.778142e6
Wisconsin	5.563852e6
Wyoming	561490.
