State	PopulationDensity
Alabama	0.000035718287020172324
Alaska	4.275032098790255e-7
Arizona	0.00002280054074595291
Arkansas	0.000021537286514374218
California	0.00009152235994461948
Colorado	0.000019865871604504958
Connecticut	0.0002501073500143592
Delaware	0.00014515166800772755
Florida	0.00011680525137916105
Georgia	0.00006560530915606732
Hawaii	0.000050563402457475905
Idaho	7.646046386544151e-6
Illinois	0.00008573592732755958
Indiana	0.00006993662016246788
Iowa	0.000021318788228626217
Kansas	0.000013627505173323727
Kentucky	0.00004228237683425402
Louisiana	0.00003427479822778343
Maine	0.000014515374091971643
Maryland	0.00018600000846596412
Massachusetts	0.00024855455842658433
Michigan	0.00003956246506850668
Minnesota	0.00002438055742263495
Mississippi	0.000023869047066900058
Missouri	0.00003369703126598908
Montana	2.687750585975852e-6
Nebraska	9.39202125676053e-6
Nevada	9.913757255866809e-6
New Hampshire	0.00005479478944553298
New Jersey	0.0003959240935324387
New Mexico	6.622599589469589e-6
New York	0.0001397500672811122
North Carolina	0.00007204772356723393
North Dakota	4.1337779571935205e-6
Ohio	0.00009986554911418573
Oklahoma	0.000021421288527807248
Oregon	0.000015581832120855807
Pennsylvania	0.00010720311895535294
Rhode Island	0.000336500773815238
South Carolina	0.00005903760040413385
South Dakota	4.298175652992367e-6
Tennessee	0.00006000151869485879
Texas	0.00003875009937412302
Utah	0.000013384011614595171
Vermont	0.000025156802073785265
Virginia	0.00007515613599303997
Washington	0.00003824053813065085
West Virginia	0.000029385903824885988
Wisconsin	0.00003402212426969249
Wyoming	2.3058562571238128e-6
