State	PropertyCrimeRate
Alabama	9.377536783358702e-10
Alaska	1.1231925418569254e-9
Arizona	9.243087265347541e-10
Arkansas	9.762176560121766e-10
California	7.916983764586504e-10
Colorado	8.566717402333841e-10
Connecticut	5.612316083206495e-10
Delaware	7.739091831557585e-10
Florida	7.966768138001016e-10
Georgia	9.069634703196347e-10
Hawaii	8.97228564180619e-10
Idaho	5.185819381024862e-10
Illinois	6.37810755961441e-10
Indiana	7.663939624556064e-10
Iowa	6.739282090309489e-10
Kansas	8.881595636732624e-10
Kentucky	6.751331811263319e-10
Louisiana	1.0676052765093862e-9
Maine	4.778982749873162e-10
Maryland	7.046867072552005e-10
Massachusetts	4.5566971080669713e-10
Michigan	5.707762557077626e-10
Minnesota	6.949200913242009e-10
Mississippi	8.6691400304414e-10
Missouri	8.986237950279047e-10
Montana	8.217909690512431e-10
Nebraska	7.210806697108067e-10
Nevada	8.283866057838661e-10
New Hampshire	4.3816590563165906e-10
New Jersey	4.932458143074581e-10
New Mexico	1.2499048706240486e-9
New York	4.801496702181634e-10
North Carolina	8.071093353627601e-10
North Dakota	6.969178082191782e-10
Ohio	7.670915778792491e-10
Oklahoma	9.121004566210047e-10
Oregon	9.470129375951294e-10
Pennsylvania	5.230213089802131e-10
Rhode Island	5.554287163876205e-10
South Carolina	1.0134132420091325e-9
South Dakota	5.949391171993912e-10
Tennessee	9.324581430745814e-10
Texas	8.125951293759513e-10
Utah	8.81595636732623e-10
Vermont	4.5557458143074586e-10
Virginia	5.685248604769154e-10
Washington	1.0063419583967529e-9
West Virginia	5.872653475393202e-10
Wisconsin	5.734081684424151e-10
Wyoming	5.80416032470827e-10
