State	PropertyCrimeTotal
Alabama	0.004571283612379503
Alaska	0.0008309233891425672
Arizona	0.006485128107559615
Arkansas	0.0029328069507864028
California	0.0313011796042618
Colorado	0.004803494419076611
Connecticut	0.0020138571790969052
Delaware	0.0007444507864028412
Florida	0.016718036529680364
Georgia	0.009458967529173008
Hawaii	0.001280821917808219
Idaho	0.0008903792491121258
Illinois	0.00816517630644343
Indiana	0.005109462201927956
Iowa	0.0021199581430745816
Kansas	0.002587297057331304
Kentucky	0.003007134703196347
Louisiana	0.0050010147133434804
Maine	0.0006384132420091325
Maryland	0.004264840182648402
Massachusetts	0.003125792744799594
Michigan	0.005686136478944698
Minnesota	0.0038753170979198377
Mississippi	0.0025869165398274985
Missouri	0.0054938165905631655
Montana	0.0008632990867579909
Nebraska	0.0013845446473871132
Nevada	0.00248357432775241
New Hampshire	0.0005883751902587519
New Jersey	0.004442097919837646
New Mexico	0.002609906139015728
New York	0.009530536529680365
North Carolina	0.008291666666666666
North Dakota	0.0005264459665144597
Ohio	0.008943239472349061
Oklahoma	0.003585299340436327
Oregon	0.003923198883815322
Pennsylvania	0.006697742262810756
Rhode Island	0.0005885654490106545
South Carolina	0.005091799847792998
South Dakota	0.0005174086757990867
Tennessee	0.006262303399289701
Texas	0.023
Utah	0.0027345890410958905
Vermont	0.00028411973617453067
Virginia	0.004815290461694571
Washington	0.007452657280568239
West Virginia	0.001066400304414003
Wisconsin	0.003323249619482496
Wyoming	0.0003362506341958397
