State	RobberyRate
Alabama	2.742897006595637e-11
Alaska	4.07470826991375e-11
Arizona	3.361237950279047e-11
Arkansas	2.0421106037544398e-11
California	4.5408422120750884e-11
Colorado	2.1689497716894982e-11
Connecticut	2.4860476915271437e-11
Delaware	3.5673515981735166e-11
Florida	2.8094875697615426e-11
Georgia	3.05365296803653e-11
Hawaii	2.3909183155758502e-11
Idaho	3.614916286149163e-12
Illinois	4.350583460172501e-11
Indiana	3.139269406392694e-11
Iowa	1.2620497209538305e-11
Kansas	1.9438102486047692e-11
Kentucky	2.1055301877219687e-11
Louisiana	3.627600202942669e-11
Maine	5.898021308980214e-12
Maryland	5.869482496194825e-11
Massachusetts	2.2513952308472858e-11
Michigan	2.0643074581430745e-11
Minnesota	2.057965499746322e-11
Mississippi	2.2006595636732625e-11
Missouri	3.294647387113141e-11
Montana	8.91045154743785e-12
Nebraska	1.5981735159817352e-11
Nevada	5.121131405377981e-11
New Hampshire	9.893455098934551e-12
New Jersey	2.7809487569761544e-11
New Mexico	5.653855910705227e-11
New York	3.2122019279553524e-11
North Carolina	2.8855910705225777e-11
North Dakota	7.67376966007103e-12
Ohio	3.1551243023845766e-11
Oklahoma	2.419457128361238e-11
Oregon	1.8613647894469813e-11
Pennsylvania	2.920471841704719e-11
Rhode Island	1.4174277016742772e-11
South Carolina	2.4416539827498735e-11
South Dakota	8.688483003551496e-12
Tennessee	3.713216641298833e-11
Texas	3.614916286149163e-11
Utah	1.499873160832065e-11
Vermont	4.693049213597159e-12
Virginia	1.6203703703703706e-11
Washington	2.308472856418062e-11
West Virginia	9.164129883307967e-12
Wisconsin	2.378234398782344e-11
Wyoming	4.153982749873161e-12
