State	StateGovernmentTaxCollections
Alabama	367.0925925925926
Alaska	56.47231735159817
Arizona	575.9735857432776
Arkansas	324.00640537798074
California	5968.901287417554
Colorado	503.22913495687465
Connecticut	570.5777841197362
Delaware	145.72374429223743
Florida	1420.5933219178082
Georgia	783.6400621511923
Hawaii	260.25887874175544
Idaho	154.86098427194318
Illinois	1347.707064941654
Indiana	639.6273465246068
Iowa	335.6122843734145
Kansas	318.05422374429224
Kentucky	408.9166349568747
Louisiana	372.5459474885845
Maine	148.2255517503805
Maryland	748.5482305936073
Massachusetts	1008.542935058346
Michigan	959.8595256215119
Minnesota	893.4485984271943
Mississippi	262.8387557077626
Missouri	417.97897640791473
Montana	100.47428335870117
Nebraska	182.4845890410959
Nevada	308.99755834601723
New Hampshire	94.15845383054287
New Jersey	1231.7384259259259
New Mexico	235.52914129883308
New York	2905.2897640791475
North Carolina	929.6194824961948
North Dakota	157.58954845256216
Ohio	955.9405124302384
Oklahoma	340.2981988838153
Oregon	442.6556633688483
Pennsylvania	1367.7210172501268
Rhode Island	118.08663115169965
South Carolina	355.8169393708777
South Dakota	61.53015601217656
Tennessee	470.152302130898
Texas	2008.1904490106544
Utah	316.0900240994419
Vermont	108.71981227803145
Virginia	833.5203576864535
Washington	887.6343543886352
West Virginia	188.29398148148147
Wisconsin	635.433567985794
Wyoming	66.92998477929984
