State	ViolentCrimeRate
Alabama	1.66222729578894e-10
Alaska	2.6287417554540844e-10
Arizona	1.610857432775241e-10
Arkansas	1.7595763571790968e-10
California	1.424720953830543e-10
Colorado	1.1672374429223746e-10
Connecticut	7.229832572298326e-11
Delaware	1.4377219685438864e-10
Florida	1.293759512937595e-10
Georgia	1.1326737696600711e-10
Hawaii	7.946473871131405e-11
Idaho	7.179096905124304e-11
Illinois	1.3914256722475902e-10
Indiana	1.265220700152207e-10
Iowa	9.30365296803653e-11
Kansas	1.3096144089294774e-10
Kentucky	7.160071029934046e-11
Louisiana	1.7662354134956875e-10
Maine	3.8368848300355154e-11
Maryland	1.5861237950279048e-10
Massachusetts	1.1352105530187723e-10
Michigan	1.4269406392694066e-10
Minnesota	7.556443429731102e-11
Mississippi	9.059487569761543e-11
Missouri	1.681570268899036e-10
Montana	1.1957762557077627e-10
Nebraska	9.700025367833587e-11
Nevada	1.7627473363774735e-10
New Hampshire	6.300735667174024e-11
New Jersey	7.255200405885337e-11
New Mexico	2.484462201927955e-10
New York	1.1310882800608829e-10
North Carolina	1.153285134449518e-10
North Dakota	8.919964485032979e-11
Ohio	9.433663115169965e-11
Oklahoma	1.4466007102993405e-10
Oregon	8.935819381024861e-11
Pennsylvania	9.934677828513446e-11
Rhode Island	7.363013698630138e-11
South Carolina	1.6051496702181635e-10
South Dakota	1.3749365804160327e-10
Tennessee	2.065892947742263e-10
Texas	1.3917427701674278e-10
Utah	7.57546930492136e-11
Vermont	5.257483510908169e-11
Virginia	6.601978691019787e-11
Washington	9.655631659056317e-11
West Virginia	1.1120624048706241e-10
Wisconsin	1.0143962455606292e-10
Wyoming	7.53107559614409e-11
