State	ViolentCrimeTotal
Alabama	0.000810216894977169
Alaska	0.00019447615423642822
Arizona	0.001130263825469305
Arkansas	0.0005286339421613394
California	0.005632515220700152
Colorado	0.0006544266869609335
Connecticut	0.0002593860984271943
Delaware	0.00013828640284119735
Florida	0.0027151509386098426
Georgia	0.0011814434297311009
Hawaii	0.00011342592592592593
Idaho	0.0001232876712328767
Illinois	0.0017814561136478945
Indiana	0.0008434170471841705
Iowa	0.00029268138001014714
Kansas	0.000381468797564688
Kentucky	0.00031887366818873666
Louisiana	0.0008273718924403856
Maine	0.00005127473363774734
Maryland	0.0009599505327245053
Massachusetts	0.0007787924911212583
Michigan	0.0014214231354642314
Minnesota	0.0004214548452562151
Mississippi	0.00027035768645357686
Missouri	0.001028031456113648
Montana	0.00012560248604769154
Nebraska	0.00018623160832064941
Nevada	0.0005285071029934044
New Hampshire	0.00008460172501268392
New Jersey	0.0006533485540334855
New Mexico	0.0005187404870624049
New York	0.002245021562658549
North Carolina	0.00118480466768138
North Dakota	0.00006738330796549974
Ohio	0.0010997907153729072
Oklahoma	0.0005686834094368341
Oregon	0.0003701801116184678
Pennsylvania	0.001272196854388635
Rhode Island	0.00007800608828006089
South Carolina	0.000806443429731101
South Dakota	0.00011957762557077626
Tennessee	0.0013874619482496194
Texas	0.003939561136478945
Utah	0.0002349695585996956
Vermont	0.000032787924911212583
Virginia	0.0005591070522577372
Washington	0.0007149923896499239
West Virginia	0.00020192795535261288
Wisconsin	0.0005878678335870116
Wyoming	0.00004363267376966007
